subject_name,target_mode,perturbation_type,trial_number,trial_name,target_pos,changed_angels,error_angles
Flo,sequence,sudden,1,No Perturbation,-1.2217304763960308,20,0.17984840467448793
Flo,sequence,sudden,2,No Perturbation,-1.2217304763960308,20,-0.04895693831602732
Flo,sequence,sudden,3,Sudden Perturbation,-1.2217304763960308,20,0.35033082729690057
Flo,sequence,sudden,4,Sudden Perturbation,-1.2217304763960308,20,0.26037486252760367
Flo,sequence,sudden,5,Sudden Perturbation,-1.2217304763960308,20,0.2785517405705067
Flo,sequence,sudden,6,Sudden Perturbation,-1.2217304763960308,20,0.5320716897180665
Flo,sequence,sudden,7,No Perturbation,-1.2217304763960308,20,-0.21326097455793436
Flo,sequence,sudden,8,No Perturbation,-1.2217304763960308,20,0.23814873124719893
Flo,sequence,sudden,9,No Perturbation,-0.8726646259971649,40,-0.21912038397225286
Flo,sequence,sudden,10,No Perturbation,-0.8726646259971649,40,-0.02339075857417905
Flo,sequence,sudden,11,Sudden Perturbation,-0.8726646259971649,40,0.09916987792454668
Flo,sequence,sudden,12,Sudden Perturbation,-0.8726646259971649,40,0.40919984947176224
Flo,sequence,sudden,13,Sudden Perturbation,-0.8726646259971649,40,-0.13533732327237824
Flo,sequence,sudden,14,Sudden Perturbation,-0.8726646259971649,40,0.023983710413971293
Flo,sequence,sudden,15,No Perturbation,-0.8726646259971649,40,-0.3418459384406147
Flo,sequence,sudden,16,No Perturbation,-0.8726646259971649,40,-0.2855345875579356
Flo,sequence,sudden,17,No Perturbation,-1.0471975511965979,30,-0.12205394594899777
Flo,sequence,sudden,18,No Perturbation,-1.0471975511965979,30,0.10598460235077889
Flo,sequence,sudden,19,Sudden Perturbation,-1.0471975511965979,30,0.43032661312255927
Flo,sequence,sudden,20,Sudden Perturbation,-1.0471975511965979,30,0.16042182186294096
Flo,sequence,sudden,21,Sudden Perturbation,-1.0471975511965979,30,0.3091989123270745
Flo,sequence,sudden,22,Sudden Perturbation,-1.0471975511965979,30,0.04103267431937052
Flo,sequence,sudden,23,No Perturbation,-1.0471975511965979,30,-0.047048656819454804
Flo,sequence,sudden,24,No Perturbation,-1.0471975511965979,30,-0.3756968479217204
Flo,sequence,sudden,25,No Perturbation,-0.5235987755982988,60,-0.40919424895321366
Flo,sequence,sudden,26,No Perturbation,-0.5235987755982988,60,-0.5694120667476522
Flo,sequence,sudden,27,Sudden Perturbation,-0.5235987755982988,60,-0.1105408753668774
Flo,sequence,sudden,28,Sudden Perturbation,-0.5235987755982988,60,-0.19872648316342023
Flo,sequence,sudden,29,Sudden Perturbation,-0.5235987755982988,60,0.02016892644632151
Flo,sequence,sudden,30,Sudden Perturbation,-0.5235987755982988,60,-0.09932825260866918
Flo,sequence,sudden,31,No Perturbation,-0.5235987755982988,60,-0.45236328621263555
Flo,sequence,sudden,32,No Perturbation,-0.5235987755982988,60,-0.21522292803155096
