subject_name,target_mode,perturbation_type,trial_number,trial_name,target_pos,changed_angels,error_angles
Lotta,sequence,sudden,1,No Perturbation,-1.2217304763960308,20,0.05984197855205964
Lotta,sequence,sudden,2,No Perturbation,-1.2217304763960308,20,-0.01915591225563773
Lotta,sequence,sudden,3,No Perturbation,-1.2217304763960308,20,-0.06942810120217802
Lotta,sequence,sudden,4,No Perturbation,-1.2217304763960308,20,-0.03652690852744778
Lotta,sequence,sudden,5,No Perturbation,-1.2217304763960308,20,0.15028087128126422
Lotta,sequence,sudden,6,No Perturbation,-1.2217304763960308,20,0.12343108511819811
Lotta,sequence,sudden,7,No Perturbation,-1.2217304763960308,20,-0.053987901832418306
Lotta,sequence,sudden,8,No Perturbation,-1.2217304763960308,20,0.06817098773044217
Lotta,sequence,sudden,9,No Perturbation,-1.2217304763960308,20,0.018560676914912255
Lotta,sequence,sudden,10,No Perturbation,-1.2217304763960308,20,0.06946874910525036
Lotta,sequence,sudden,11,No Perturbation,-1.2217304763960308,20,0.02129502827966201
Lotta,sequence,sudden,12,No Perturbation,-1.2217304763960308,20,-0.039243159718794995
Lotta,sequence,sudden,13,No Perturbation,-1.2217304763960308,20,0.05582593588621765
Lotta,sequence,sudden,14,No Perturbation,-1.2217304763960308,20,-0.013927836318336606
Lotta,sequence,sudden,15,No Perturbation,-1.2217304763960308,20,-0.046004708449129295
Lotta,sequence,sudden,16,No Perturbation,-1.2217304763960308,20,-0.052258146965881824
Lotta,sequence,sudden,17,No Perturbation,-1.2217304763960308,20,0.03503979131491852
Lotta,sequence,sudden,18,No Perturbation,-1.2217304763960308,20,0.00970481987170646
Lotta,sequence,sudden,19,No Perturbation,-1.2217304763960308,20,0.002177675619077224
Lotta,sequence,sudden,20,No Perturbation,-1.2217304763960308,20,0.06783222001102795
Lotta,sequence,sudden,21,Sudden Perturbation,-1.2217304763960308,20,0.5011614896854734
Lotta,sequence,sudden,22,Sudden Perturbation,-1.2217304763960308,20,-0.015455362719282606
Lotta,sequence,sudden,23,Sudden Perturbation,-1.2217304763960308,20,-0.09746618711469601
Lotta,sequence,sudden,24,Sudden Perturbation,-1.2217304763960308,20,0.1396264745667557
