subject_name,target_mode,perturbation_type,trial_number,trial_name,target_angles,circle_angles,error_angles
Lea,fix,sudden,1,No Peturbation,0,-4.2161011353810025,-4.2161011353810025
Lea,fix,sudden,2,No Peturbation,0,4.0334110727702654,4.0334110727702654
Lea,fix,sudden,3,No Peturbation,0,-3.7273569639455784,-3.7273569639455784
Lea,fix,sudden,4,No Peturbation,0,0.18602460450789143,0.18602460450789143
Lea,fix,sudden,5,No Peturbation,0,1.5074357587751237,1.5074357587751237
Lea,fix,sudden,6,No Peturbation,0,4.0334110727702654,4.0334110727702654
Lea,fix,sudden,7,No Peturbation,0,0.5654005232689173,0.5654005232689173
Lea,fix,sudden,8,No Peturbation,0,5.980599524763502,5.980599524763502
Lea,fix,sudden,9,No Peturbation,0,0.3684565253373833,0.3684565253373833
Lea,fix,sudden,10,No Peturbation,0,2.9170072866276535,2.9170072866276535
Lea,fix,sudden,11,No Peturbation,0,0.9963478965043031,0.9963478965043031
Lea,fix,sudden,12,No Peturbation,0,-4.398705354995426,-4.398705354995426
Lea,fix,sudden,13,No Peturbation,0,-0.5826488591871193,-0.5826488591871193
Lea,fix,sudden,14,No Peturbation,0,1.2338721669996666,1.2338721669996666
Lea,fix,sudden,15,No Peturbation,0,0.9548412538719732,0.9548412538719732
Lea,fix,sudden,16,No Peturbation,0,-0.918123002335035,-0.918123002335035
Lea,fix,sudden,17,No Peturbation,0,-2.4406379257613655,-2.4406379257613655
Lea,fix,sudden,18,No Peturbation,0,-1.7415648506974166,-1.7415648506974166
Lea,fix,sudden,19,No Peturbation,0,-0.19356608626310498,-0.19356608626310498
Lea,fix,sudden,20,No Peturbation,0,-3.7619783042636024,-3.7619783042636024
Lea,fix,sudden,21,No Peturbation,0,-0.18305298584485336,-0.18305298584485336
Lea,fix,sudden,22,No Peturbation,0,-3.190234292532214,-3.190234292532214
Lea,fix,sudden,23,No Peturbation,0,1.0322446915660841,1.0322446915660841
Lea,fix,sudden,24,No Peturbation,0,-0.5635468708139316,-0.5635468708139316
Lea,fix,sudden,25,No Peturbation,0,2.68377515946891,2.68377515946891
