subject_name,target_mode,perturbation_type,trial_number,trial_name,feedback_type,target_pos,changed_angels,error_angles,perturbed_angels
Lotta,sequence,gradual,1,No Perturbation,no,"[960.8362829059618, 202.1866670643066]",40,-0.08161632740688207,0.0
Lotta,sequence,gradual,2,No Perturbation,no,"[960.8362829059618, 202.1866670643066]",40,-0.1509227801180295,0.0
Lotta,sequence,gradual,3,No Perturbation,no,"[960.8362829059618, 202.1866670643066]",40,0.047287775476426486,0.0
Lotta,sequence,gradual,4,No Perturbation,no,"[960.8362829059618, 202.1866670643066]",40,0.062100152202419934,0.0
Lotta,sequence,gradual,5,Gradual Perturbation,no,"[960.8362829059618, 202.1866670643066]",40,-0.008945192270437885,1.0
Lotta,sequence,gradual,6,Gradual Perturbation,no,"[960.8362829059618, 202.1866670643066]",40,0.1440600479487646,1.0
Lotta,sequence,gradual,7,Gradual Perturbation,no,"[960.8362829059618, 202.1866670643066]",40,-0.06143290788219402,1.0
Lotta,sequence,gradual,8,Gradual Perturbation,no,"[960.8362829059618, 202.1866670643066]",40,-0.06090418791147412,2.0
Lotta,sequence,gradual,9,Gradual Perturbation,no,"[960.8362829059618, 202.1866670643066]",40,-0.09563462612633022,2.0
Lotta,sequence,gradual,10,Gradual Perturbation,no,"[960.8362829059618, 202.1866670643066]",40,0.0019241267708969279,2.0
Lotta,sequence,gradual,11,Gradual Perturbation,no,"[960.8362829059618, 202.1866670643066]",40,-0.10313416595802039,3.0
Lotta,sequence,gradual,12,Gradual Perturbation,no,"[960.8362829059618, 202.1866670643066]",40,-0.09180623931891296,3.0
Lotta,sequence,gradual,13,Gradual Perturbation,no,"[960.8362829059618, 202.1866670643066]",40,-0.03313238232312121,3.0
Lotta,sequence,gradual,14,Gradual Perturbation,no,"[960.8362829059618, 202.1866670643066]",40,-0.07253782329496938,4.0
Lotta,sequence,gradual,15,Gradual Perturbation,no,"[960.8362829059618, 202.1866670643066]",40,-0.007553489599443242,4.0
Lotta,sequence,gradual,16,Gradual Perturbation,no,"[960.8362829059618, 202.1866670643066]",40,0.009538619233043555,4.0
Lotta,sequence,gradual,17,Aftereffect,no,"[960.8362829059618, 202.1866670643066]",40,0.0371994066587078,4.0
Lotta,sequence,gradual,18,Aftereffect,no,"[960.8362829059618, 202.1866670643066]",40,-0.012402189891445481,4.0
Lotta,sequence,gradual,19,Aftereffect,no,"[960.8362829059618, 202.1866670643066]",40,0.03843313671997062,4.0
Lotta,sequence,gradual,20,Aftereffect,no,"[960.8362829059618, 202.1866670643066]",40,-0.05914377864055975,4.0
