subject_name,target_mode,perturbation_type,trial_number,trial_name,feedback_type,target_pos,changed_angels,error_angles,perturbed_angels
Hannah,sequence,gradual,1,No Perturbation,rl,"[960.8362829059618, 202.1866670643066]",40,-0.06223723288689065,0.0
Hannah,sequence,gradual,2,No Perturbation,rl,"[960.8362829059618, 202.1866670643066]",40,0.03826520792335952,0.0
Hannah,sequence,gradual,3,No Perturbation,rl,"[960.8362829059618, 202.1866670643066]",40,-0.07856064076238611,0.0
Hannah,sequence,gradual,4,No Perturbation,rl,"[960.8362829059618, 202.1866670643066]",40,-0.014235368406236626,0.0
Hannah,sequence,gradual,5,No Perturbation,rl,"[960.8362829059618, 202.1866670643066]",40,0.10666438195547068,0.0
Hannah,sequence,gradual,6,No Perturbation,rl,"[960.8362829059618, 202.1866670643066]",40,-0.01761047613051736,0.0
Hannah,sequence,gradual,7,No Perturbation,rl,"[960.8362829059618, 202.1866670643066]",40,0.054068331937708214,0.0
Hannah,sequence,gradual,8,No Perturbation,rl,"[960.8362829059618, 202.1866670643066]",40,-0.09086849773508276,0.0
Hannah,sequence,gradual,9,No Perturbation,rl,"[960.8362829059618, 202.1866670643066]",40,0.021857718594229247,0.0
Hannah,sequence,gradual,10,No Perturbation,rl,"[960.8362829059618, 202.1866670643066]",40,0.15499640337245157,0.0
Hannah,sequence,gradual,11,No Perturbation,rl,"[960.8362829059618, 202.1866670643066]",40,-0.08609098565410545,0.0
Hannah,sequence,gradual,12,No Perturbation,rl,"[960.8362829059618, 202.1866670643066]",40,-0.28733156376659186,0.0
Hannah,sequence,gradual,13,No Perturbation,rl,"[960.8362829059618, 202.1866670643066]",40,-0.1870997825004923,0.0
Hannah,sequence,gradual,14,No Perturbation,rl,"[960.8362829059618, 202.1866670643066]",40,-0.030667137430335334,0.0
Hannah,sequence,gradual,15,No Perturbation,rl,"[960.8362829059618, 202.1866670643066]",40,0.14167892989906383,0.0
Hannah,sequence,gradual,16,No Perturbation,rl,"[960.8362829059618, 202.1866670643066]",40,0.0655736135130085,0.0
Hannah,sequence,gradual,17,No Perturbation,rl,"[960.8362829059618, 202.1866670643066]",40,0.02874749445085789,0.0
Hannah,sequence,gradual,18,No Perturbation,rl,"[960.8362829059618, 202.1866670643066]",40,-0.05517318554859496,0.0
Hannah,sequence,gradual,19,No Perturbation,rl,"[960.8362829059618, 202.1866670643066]",40,-0.0014372455625814018,0.0
Hannah,sequence,gradual,20,No Perturbation,rl,"[960.8362829059618, 202.1866670643066]",40,0.06401483978925371,0.0
Hannah,sequence,gradual,21,Gradual Perturbation,rl,"[960.8362829059618, 202.1866670643066]",40,-0.049560152605118035,1.0
Hannah,sequence,gradual,22,Gradual Perturbation,rl,"[960.8362829059618, 202.1866670643066]",40,-0.09806213538444064,1.0
Hannah,sequence,gradual,23,Gradual Perturbation,rl,"[960.8362829059618, 202.1866670643066]",40,-0.32053907670277204,1.0
Hannah,sequence,gradual,24,Gradual Perturbation,rl,"[960.8362829059618, 202.1866670643066]",40,0.07472174503651852,2.0
Hannah,sequence,gradual,25,Gradual Perturbation,rl,"[960.8362829059618, 202.1866670643066]",40,-0.013651029474592513,2.0
Hannah,sequence,gradual,26,Gradual Perturbation,rl,"[960.8362829059618, 202.1866670643066]",40,0.005356439024540527,2.0
Hannah,sequence,gradual,27,Gradual Perturbation,rl,"[960.8362829059618, 202.1866670643066]",40,-0.09306479289023573,3.0
Hannah,sequence,gradual,28,Gradual Perturbation,rl,"[960.8362829059618, 202.1866670643066]",40,-0.10481832034447369,3.0
Hannah,sequence,gradual,29,Gradual Perturbation,rl,"[960.8362829059618, 202.1866670643066]",40,-0.2051313722309207,3.0
Hannah,sequence,gradual,30,Gradual Perturbation,rl,"[960.8362829059618, 202.1866670643066]",40,-0.21249960151936054,4.0
Hannah,sequence,gradual,31,Gradual Perturbation,rl,"[960.8362829059618, 202.1866670643066]",40,-0.16042393212284933,4.0
Hannah,sequence,gradual,32,Gradual Perturbation,rl,"[960.8362829059618, 202.1866670643066]",40,-0.23233472871530902,4.0
Hannah,sequence,gradual,33,Gradual Perturbation,rl,"[960.8362829059618, 202.1866670643066]",40,-0.16653309585954612,5.0
Hannah,sequence,gradual,34,Gradual Perturbation,rl,"[960.8362829059618, 202.1866670643066]",40,-0.19619018836394675,5.0
Hannah,sequence,gradual,35,Gradual Perturbation,rl,"[960.8362829059618, 202.1866670643066]",40,-0.13600324992199875,5.0
Hannah,sequence,gradual,36,Gradual Perturbation,rl,"[960.8362829059618, 202.1866670643066]",40,-0.07152854890772942,6.0
Hannah,sequence,gradual,37,Gradual Perturbation,rl,"[960.8362829059618, 202.1866670643066]",40,-0.10509680177367509,6.0
Hannah,sequence,gradual,38,Gradual Perturbation,rl,"[960.8362829059618, 202.1866670643066]",40,-0.2355281666916722,6.0
Hannah,sequence,gradual,39,Gradual Perturbation,rl,"[960.8362829059618, 202.1866670643066]",40,-0.3117993229372147,7.0
Hannah,sequence,gradual,40,Gradual Perturbation,rl,"[960.8362829059618, 202.1866670643066]",40,-0.2626796122064752,7.0
Hannah,sequence,gradual,41,Gradual Perturbation,rl,"[960.8362829059618, 202.1866670643066]",40,-0.2248402130197451,7.0
Hannah,sequence,gradual,42,Gradual Perturbation,rl,"[960.8362829059618, 202.1866670643066]",40,-0.42901644174891707,8.0
Hannah,sequence,gradual,43,Gradual Perturbation,rl,"[960.8362829059618, 202.1866670643066]",40,-0.19199730193868159,8.0
Hannah,sequence,gradual,44,Gradual Perturbation,rl,"[960.8362829059618, 202.1866670643066]",40,-0.23212359990514364,8.0
Hannah,sequence,gradual,45,Gradual Perturbation,rl,"[960.8362829059618, 202.1866670643066]",40,-0.2658804070196581,9.0
Hannah,sequence,gradual,46,Gradual Perturbation,rl,"[960.8362829059618, 202.1866670643066]",40,-0.2856445214661971,9.0
Hannah,sequence,gradual,47,Gradual Perturbation,rl,"[960.8362829059618, 202.1866670643066]",40,-0.2861042851431199,9.0
Hannah,sequence,gradual,48,Gradual Perturbation,rl,"[960.8362829059618, 202.1866670643066]",40,-0.12809444961526828,10.0
