subject_name,target_mode,perturbation_type,trial_number,trial_name,target_pos,feedback,noise,changed_angels,error_angles,gradual_angels,lession_perturbed,tremor_perturbed
Dulli,sequence,tremor,1,No Perturbation,"[960.8362829059618, 202.1866670643066]",endpos,no,40,0.010839042552965195,0.0,0.0,"['n', 'o']"
Dulli,sequence,tremor,2,Gradual Perturbation,"[960.8362829059618, 202.1866670643066]",endpos,no,40,-0.12137631941619365,1.0,0.0,"['n', 'o']"
Dulli,sequence,tremor,3,Gradual Perturbation,"[960.8362829059618, 202.1866670643066]",endpos,no,40,0.10467433052821806,1.0,0.0,"['n', 'o']"
Dulli,sequence,tremor,4,Gradual Perturbation,"[960.8362829059618, 202.1866670643066]",endpos,no,40,-0.006392625933737683,1.0,0.0,"['n', 'o']"
Dulli,sequence,tremor,5,Aftereffect,"[960.8362829059618, 202.1866670643066]",endpos,no,40,-0.014154268694318461,1.0,0.0,"['n', 'o']"
Dulli,sequence,tremor,6,No Perturbation,"[618.0, 172.1923788646684]",endpos,"[0, 1]",-30,0.1548358398259908,1.0,0.1665996104176406,"[0, 1]"
Dulli,sequence,tremor,7,Gradual Perturbation,"[618.0, 172.1923788646684]",endpos,"[0, 1]",-30,0.030950631753472457,1.0,0.023799944345377244,"[0, 1]"
Dulli,sequence,tremor,8,Gradual Perturbation,"[618.0, 172.1923788646684]",endpos,"[0, 1]",-30,0.014905556158170796,1.0,0.1665996104176406,"[0, 1]"
Dulli,sequence,tremor,9,Gradual Perturbation,"[618.0, 172.1923788646684]",endpos,"[0, 1]",-30,0.003747785542883797,1.0,0.5156654608165065,"[0, 1]"
Dulli,sequence,tremor,10,Aftereffect,"[618.0, 172.1923788646684]",endpos,"[0, 1]",-30,-0.046033191392107486,1.0,0.721931645143109,"[0, 1]"
Dulli,sequence,tremor,11,No Perturbation,"[1049.9077862357726, 329.3939570022994]",endpos,"[4, 1]",70,0.03728776685167173,1.0,0.6743317564523545,"[4, 1]"
Dulli,sequence,tremor,12,Gradual Perturbation,"[1049.9077862357726, 329.3939570022994]",endpos,"[4, 1]",70,-0.12688773437526168,1.0,0.6267318677616003,"[4, 1]"
Dulli,sequence,tremor,13,Gradual Perturbation,"[1049.9077862357726, 329.3939570022994]",endpos,"[4, 1]",70,-0.17705567583573345,1.0,0.15073298085405573,"[4, 1]"
Dulli,sequence,tremor,14,Gradual Perturbation,"[1049.9077862357726, 329.3939570022994]",endpos,"[4, 1]",70,-0.052824798212870006,1.0,0.563265349507261,"[4, 1]"
Dulli,sequence,tremor,15,Aftereffect,"[1049.9077862357726, 329.3939570022994]",endpos,"[4, 1]",70,0.0811554279755261,1.0,0.7695315338338635,"[4, 1]"
Dulli,sequence,tremor,16,No Perturbation,"[486.0922137642275, 329.3939570022994]",endpos,"[2, 1]",-70,0.01630780534593068,1.0,0.5473987199436761,"[2, 1]"
Dulli,sequence,tremor,17,Gradual Perturbation,"[486.0922137642275, 329.3939570022994]",endpos,"[2, 1]",-70,0.11020952279963536,1.0,0.46806557212575206,"[2, 1]"
Dulli,sequence,tremor,18,Gradual Perturbation,"[486.0922137642275, 329.3939570022994]",endpos,"[2, 1]",-70,0.08246503159024154,1.0,0.642598497325185,"[2, 1]"
Dulli,sequence,tremor,19,Gradual Perturbation,"[486.0922137642275, 329.3939570022994]",endpos,"[2, 1]",-70,-0.08009808145188746,1.0,-0.039666573908962,"[2, 1]"
Dulli,sequence,tremor,20,Aftereffect,"[486.0922137642275, 329.3939570022994]",endpos,"[2, 1]",-70,-0.08570396661108104,1.0,0.007933314781792489,"[2, 1]"
